id, k, disk_time, disk_size, disk_symdiff, mem_time, mem_size, mem_symdiff
175, 900, 2795, 1023, 2017, 3143, 1023, 2017
176, 900, 2513, 1010, 2008, 3232, 1010, 2008
177, 900, 2712, 1033, 2029, 3332, 1033, 2029
178, 900, 2738, 1016, 2012, 3225, 1016, 2012
179, 900, 3319, 1068, 2064, 3299, 1068, 2064
180, 1000, 2664, 1007, 2003, 3503, 1007, 2003
181, 1000, 2928, 1034, 2028, 3681, 1034, 2028
182, 1000, 3044, 1005, 1999, 3520, 1005, 1999
183, 1000, 2446, 1016, 2010, 3416, 1016, 2010
184, 1000, 2641, 1007, 1999, 3718, 1007, 1999
185, 1000, 2548, 1000, 1990, 3686, 1000, 1990
186, 1000, 3028, 1033, 2031, 3584, 1033, 2031
187, 1000, 2706, 1020, 2016, 3537, 1020, 2016
188, 1000, 3152, 1013, 2009, 3515, 1013, 2009
189, 1000, 2691, 1004, 2000, 3707, 1004, 2000
190, 2000, 3518, 1005, 2001, 8189, 1005, 2001
191, 2000, 3846, 1004, 2000, 7989, 1004, 2000
192, 2000, 3629, 1005, 2003, 8035, 1005, 2003
193, 2000, 3608, 1008, 2006, 7987, 1008, 2006
194, 2000, 3010, 1017, 2015, 7966, 1017, 2015
195, 2000, 3464, 1035, 2033, 7636, 1035, 2033
196, 2000, 4468, 1002, 1998, 8151, 1002, 1998
197, 2000, 3640, 1020, 2018, 7856, 1020, 2018
198, 2000, 3998, 1004, 2002, 7782, 1004, 2002
199, 2000, 3538, 1011, 2005, 7735, 1011, 2005
200, 3000, 3756, 1002, 2000, 11837, 1002, 2000
201, 3000, 4123, 1003, 2001, 12317, 1003, 2001
202, 3000, 3970, 1002, 2000, 12606, 1002, 2000
203, 3000, 3887, 1017, 2011, 12136, 1017, 2011
204, 3000, 4312, 999, 1997, 12145, 999, 1997
205, 3000, 4364, 1008, 2006, 11717, 1008, 2006
206, 3000, 4232, 1005, 2003, 11838, 1005, 2003
207, 3000, 4166, 1002, 1996, 11868, 1002, 1996
208, 3000, 3789, 1010, 2008, 11906, 1010, 2008
209, 3000, 3696, 1042, 2040, 11832, 1042, 2040
210, 4000, 3627, 1011, 2009, 15891, 1011, 2009
211, 4000, 3740, 1007, 2005, 16289, 1007, 2005
212, 4000, 3496, 1002, 2000, 15175, 1002, 2000
213, 4000, 3375, 1000, 1996, 15197, 1000, 1996
214, 4000, 3817, 1000, 1998, 16102, 1000, 1998
215, 4000, 3951, 1002, 2000, 15936, 1002, 2000
216, 4000, 3500, 1000, 1998, 15733, 1000, 1998
217, 4000, 2978, 1000, 1998, 15693, 1000, 1998
218, 4000, 3620, 1001, 1999, 15815, 1001, 1999
219, 4000, 3282, 1005, 2003, 15196, 1005, 2003
220, 5000, 2913, 1001, 1999, 19370, 1001, 1999
221, 5000, 2743, 1001, 1999, 20190, 1001, 1999
222, 5000, 3126, 1003, 1997, 20906, 1003, 1997
223, 5000, 3008, 1001, 1999, 20732, 1001, 1999
224, 5000, 3235, 1001, 1997, 20577, 1001, 1997
225, 5000, 3146, 997, 1995, 20554, 997, 1995
226, 5000, 2998, 1001, 1999, 19525, 1001, 1999
227, 5000, 3055, 1001, 1999, 19746, 1001, 1999
228, 5000, 3039, 999, 1997, 19857, 999, 1997
229, 5000, 3372, 999, 1997, 19799, 999, 1997
230, 6000, 2833, 1015, 2013, 23667, 1015, 2013
231, 6000, 2394, 1001, 1997, 23951, 1001, 1997
232, 6000, 2368, 999, 1997, 24241, 999, 1997
233, 6000, 2581, 1002, 2000, 24308, 1002, 2000
234, 6000, 2670, 1003, 2001, 24677, 1003, 2001
235, 6000, 2510, 1001, 1999, 23838, 1001, 1999
236, 6000, 2434, 1000, 1998, 24317, 1000, 1998
237, 6000, 2491, 1000, 1998, 24072, 1000, 1998
238, 6000, 2333, 999, 1997, 24577, 999, 1997
239, 6000, 2527, 1000, 1998, 24377, 1000, 1998
240, 7000, 2057, 1000, 1998, 28999, 1000, 1998
241, 7000, 2520, 1001, 1999, 30937, 1001, 1999
242, 7000, 2448, 1000, 1998, 30520, 1000, 1998
243, 7000, 2114, 1001, 1999, 30322, 1001, 1999
244, 7000, 2126, 1000, 1998, 29427, 1000, 1998
245, 7000, 2402, 1000, 1998, 30258, 1000, 1998
246, 7000, 2381, 1000, 1998, 30263, 1000, 1998
247, 7000, 2284, 1000, 1998, 29639, 1000, 1998
248, 7000, 2828, 999, 1997, 30569, 999, 1997
249, 7000, 2312, 1000, 1998, 30665, 1000, 1998
250, 8000, 1644, 1000, 1998, 31880, 1000, 1998
251, 8000, 1874, 1000, 1998, 32627, 1000, 1998
252, 8000, 1577, 1000, 1998, 31340, 1000, 1998
253, 8000, 1552, 1000, 1996, 34565, 1000, 1996
254, 8000, 2446, 1000, 1998, 33689, 1000, 1998
255, 8000, 2073, 1000, 1996, 32629, 1000, 1996
256, 8000, 1637, 1000, 1996, 31814, 1000, 1996
257, 8000, 1704, 1000, 1998, 31875, 1000, 1998
258, 8000, 1550, 1000, 1998, 31541, 1000, 1998
259, 8000, 1909, 1000, 1998, 31820, 1000, 1998
260, 9000, 1703, 1000, 1998, 36496, 1000, 1998
261, 9000, 1408, 1000, 1998, 37788, 1000, 1998
262, 9000, 1630, 1000, 1998, 36494, 1000, 1998
263, 9000, 1461, 1000, 1998, 36500, 1000, 1998
264, 9000, 1492, 1000, 1998, 36652, 1000, 1998
265, 9000, 1674, 1000, 1998, 36555, 1000, 1998
266, 9000, 1755, 1000, 1998, 38353, 1000, 1998
267, 9000, 1904, 1001, 1999, 38785, 1001, 1999
268, 9000, 2047, 1000, 1998, 37006, 1000, 1998
269, 9000, 1805, 1000, 1998, 37348, 1000, 1998
270, 10000, 1594, 1000, 1998, 42181, 1000, 1998
271, 10000, 1814, 1000, 1998, 43770, 1000, 1998
272, 10000, 1319, 1000, 1998, 42110, 1000, 1998
273, 10000, 1783, 1000, 1998, 41521, 1000, 1998
274, 10000, 1612, 1000, 1998, 40888, 1000, 1998
275, 10000, 1574, 1000, 1998, 43725, 1000, 1998
276, 10000, 1583, 1001, 1999, 39993, 1001, 1999
277, 10000, 1480, 1000, 1998, 42459, 1000, 1998
278, 10000, 1524, 1000, 1998, 42504, 1000, 1998
279, 10000, 1554, 1000, 1998, 41218, 1000, 1998
